iter	RMSE
0	0.3723638881
1	0.3495569462
2	0.3296586503
3	0.3105264361
4	0.2938933292
5	0.2790358919
6	0.2647807645
7	0.2524875755
8	0.2407746163
9	0.2304956718
10	0.221060987
11	0.2121412279
12	0.204216207
13	0.196895462
14	0.1905665948
15	0.1847818801
16	0.1792748535
17	0.1746083408
18	0.1701301697
19	0.1661295296
20	0.1626453361
21	0.1592746082
22	0.1561032559
23	0.1538759628
24	0.1514999162
25	0.1494114089
26	0.1472604905
27	0.1454983878
28	0.1437585038
29	0.1420070206
30	0.1404920604
31	0.1393307466
32	0.1380878865
33	0.1368300739
34	0.135577486
35	0.1347295712
36	0.1337364626
37	0.1326141801
38	0.1318736019
39	0.1309927814
40	0.1301519537
41	0.1295495633
42	0.1288034666
43	0.1282775792
44	0.1276680685
45	0.1269838566
46	0.1261340522
47	0.1256350826
48	0.125169975
49	0.1244255042
50	0.1239329298
51	0.1235218544
52	0.1231363011
53	0.1226327869
54	0.1217750465
55	0.1213823912
56	0.1211363973
57	0.12053796
58	0.1201043815
59	0.1195322558
60	0.1192414555
61	0.1188763435
62	0.118261875
63	0.1177227361
64	0.1173802983
65	0.116988895
66	0.1164605052
67	0.116013949
68	0.1156172619
69	0.1152178048
70	0.1147740331
71	0.1144004947
72	0.1138735059
73	0.1134789433
74	0.1131979704
75	0.1129357519
76	0.1126029764
77	0.1120953984
78	0.111770794
79	0.1112035837
80	0.1108387706
81	0.1105234724
82	0.1102965093
83	0.1100327682
84	0.1096212425
85	0.1094031577
86	0.1091073794
87	0.1086239825
88	0.108235846
89	0.1080602031
90	0.1077528076
91	0.1075017952
92	0.1072058476
93	0.1069449154
94	0.10651286
95	0.1063323445
96	0.1060081529
97	0.1057933618
98	0.1055216544
99	0.1051044366
100	0.1046905637
101	0.1043555424
102	0.1040356847
103	0.1038953394
104	0.1035585886
105	0.1033055372
106	0.1030554709
107	0.1026415621
108	0.1023443889
109	0.1020725454
110	0.1017307074
111	0.101379795
112	0.1010143613
113	0.1006812018
114	0.1003298142
115	0.1001248136
116	0.09969548854
117	0.09944628791
118	0.09932364289
119	0.0990363383
120	0.09873774434
121	0.09863187935
122	0.09831494221
123	0.09809304652
124	0.09778874358
125	0.09761326031
126	0.09733851024
127	0.09715576504
128	0.09686702283
129	0.09652166061
130	0.09625227264
131	0.09592302846
132	0.0957197327
133	0.09544278126
134	0.09531733215
135	0.09505403967
136	0.09478431058
137	0.09459683586
138	0.0943846969
139	0.09414274839
140	0.09391356988
141	0.09370994012
142	0.09358117956
143	0.09335635063
144	0.09320666955
145	0.09301216884
146	0.09261230439
147	0.09241303923
148	0.09200218552
149	0.09172891133
150	0.09151680136
151	0.09140324665
152	0.09118262377
153	0.0909451548
154	0.09071883828
155	0.09054581639
156	0.09034224068
157	0.09016776415
158	0.08995294967
159	0.08979325805
160	0.08960500971
161	0.08943142976
162	0.08933585283
163	0.08912937975
164	0.08891254055
165	0.08881314855
166	0.08876129278
167	0.08854005083
168	0.08832572773
169	0.08806370136
170	0.08770248812
171	0.08740807603
172	0.08732095806
173	0.08715270297
174	0.08686174037
175	0.08663977607
176	0.08638826764
177	0.0863317898
178	0.0861563625
179	0.08595860651
180	0.08574197422
181	0.08551947206
182	0.08539492741
183	0.08532654214
184	0.08529422749
185	0.08513513567
186	0.08493220386
187	0.08463552285
188	0.08443943696
189	0.08428006508
190	0.08421218519
191	0.08414436244
192	0.08399514346
193	0.08378980788
194	0.08366510802
195	0.08345432483
196	0.08322478166
197	0.08301166658
198	0.08286264513
199	0.0827034801
200	0.08257003422
201	0.08254609393
202	0.08237626153
203	0.08214430401
204	0.08203004651
205	0.08176523251
206	0.08159161316
207	0.0814220767
208	0.08138097745
209	0.08133711514
210	0.08124394199
211	0.08108325484
212	0.08090553016
213	0.08070034779
214	0.08066014818
215	0.08039833114
216	0.08017371643
217	0.08002609249
218	0.07991225244
219	0.07968708911
220	0.07949287499
221	0.07933225021
222	0.07908663978
223	0.07890251528
224	0.07880081159
225	0.07858022751
226	0.07847470997
227	0.07828209538
228	0.07813544094
229	0.0779819898
230	0.07766629152
231	0.07751102926
232	0.07732157252
233	0.07720011934
234	0.07709235642
235	0.07689989055
236	0.07687778558
237	0.07674743347
238	0.07660847854
239	0.07642926147
240	0.07622182265
241	0.07603376039
242	0.07595082521
243	0.075803324
